Keyword,AIDAStage,MediaFormat,Platform,ToneCluster
can you self-define?,Desire,Static Post,Instagram,formal and authoritative
is self-harm?,Desire,Article,LinkedIn,promotional
is subjective? at work,Interest,Carousel,Instagram,uplifting guidance
ways to host inner demons,Interest,Mini Article,Instagram,uplifting guidance
when we strain to function at the battery charge that we are not truly at? deeply,Action,Carousel,LinkedIn,formal and authoritative
when to restrain? in life,Desire,YouTube Short,Medium,inviting curiosity
is impossible? now,Interest,Carousel,Instagram,uplifting guidance
where time-match questions are not actively spurred deeply,Awareness,Reel,Facebook,introspective exploration
sensing gullible or betrayed in life,Awareness,Carousel,YouTube Shorts,uplifting guidance
downplay our hurt?,Desire,Carousel,Facebook,introspective exploration
down the rabbit hole of negativity? again,Awareness,Carousel,Instagram,uncertainty and introspection
what exactly if i am not an expert on them?,Awareness,Static Post,Facebook,introspective reflection
cannot-be-unconditional-yet and conditional-is-not-desired? deeply,Interest,Article,Instagram,formal and authoritative
is too late? now,Action,Carousel,LinkedIn,introspective exploration
who-am-i moments will only keep us stuck? deeply,Desire,Carousel,LinkedIn,uncertainty and introspection
who is pleased and who may be not,Interest,Carousel,Facebook,promotional
is a   dis-ease again,Interest,YouTube Short,Medium,promotional
an identity crisis is our opportunity? again,Interest,Carousel,LinkedIn,inviting curiosity
who we fulfill-needs with? again,Action,Reel,YouTube Shorts,uplifting guidance
do no right? deeply,Action,Reel,YouTube Shorts,inviting curiosity
when to step back and not?,Action,Carousel,Facebook,gratitude
whole is greater than the sum of all our parts? again,Awareness,Mini Article,Facebook,gratitude
do not and cannot? at work,Action,YouTube Short,Instagram,uplifting guidance
who is pleased and who may be not?,Action,Reel,Medium,introspective reflection
is while we walk in our shoes? deeply,Action,Mini Article,YouTube Shorts,formal and authoritative
when humans say we speak from logic? again,Interest,Static Post,Facebook,inviting curiosity
is no wonder that many give up? in life,Interest,Article,YouTube Shorts,gratitude
is not a problem to be solved but a reality to be accepted? deeply,Interest,Static Post,LinkedIn,inviting curiosity
beings when scored only add to the muddle,Desire,Static Post,Facebook,contemplative uncertainty
is a success spiral of becoming aware of our demon and healing it?,Action,Static Post,YouTube Shorts,formal and authoritative
does it mean do we seek for who-are-you to be neatly defined and set in stone now,Awareness,Mini Article,YouTube Shorts,formal and authoritative
who we used to be? now,Action,YouTube Short,Facebook,uplifting guidance
is about a matched wish?,Action,Reel,Medium,uncertainty and introspection
is a currency? again,Awareness,Reel,Facebook,inviting curiosity
is how we magic? now,Interest,Static Post,Instagram,uncertainty and introspection
how your sensings are changing the color of your truth at work,Awareness,YouTube Short,Facebook,promotional
feel-good factor of these games blinds us?,Action,Static Post,LinkedIn,reflective curiosity
do not bring ease? at work,Interest,Mini Article,YouTube Shorts,uncertainty and introspection
can guide us? now,Action,Mini Article,YouTube Shorts,formal and authoritative
is a   dis-ease at work,Awareness,Article,LinkedIn,reflective curiosity
is no good to be found in such 'what exactly if',Awareness,Static Post,Instagram,uncertainty and introspection
is defined and expressed does it hurt? again,Awareness,Mini Article,Facebook,promotional
which deflating truths do they present?,Awareness,Article,LinkedIn,reflective curiosity
can move toward treating our conditions as a gift we give others? now,Action,Article,YouTube Shorts,contemplative uncertainty
which we want when we are unable?,Action,YouTube Short,Facebook,gratitude
is a more sensible priority,Awareness,Reel,Facebook,formal and authoritative
how does if they are not an expert on me?,Awareness,Mini Article,Medium,gratitude
what exactly blocks you from tribing?,Awareness,Reel,Instagram,reflective curiosity
is our human ai? deeply,Interest,Mini Article,LinkedIn,inviting curiosity
is ill? at work,Action,Reel,Facebook,introspective reflection
is not a to-do? in life,Interest,Mini Article,Medium,introspective reflection
when we chip away at? in life,Awareness,Mini Article,Instagram,introspective reflection
when you officially became an i-know-it-all,Awareness,Static Post,YouTube Shorts,uplifting guidance
what happens when it surges?,Awareness,Static Post,Instagram,introspective reflection
don't have any magical way to be 'the' cause? now,Awareness,YouTube Short,Instagram,gratitude
who-am-i? at work,Awareness,YouTube Short,Facebook,contemplative uncertainty
is open to same-side?,Awareness,Carousel,Medium,gratitude
is a friend invite that you send to yourself in life,Desire,YouTube Short,YouTube Shorts,introspective exploration
nan emotionally logical is different from rationall? at work,Action,Carousel,Facebook,gratitude
interconnected and interdependent to single out an act deeply,Action,Article,Facebook,introspective reflection
is best understood as our unchecked tendency to ignore? in life,Awareness,Article,Facebook,introspective reflection
when we master our machineness? now,Desire,Carousel,Facebook,gratitude
where to love and where to put up boundaries? deeply,Action,Reel,Facebook,uplifting guidance
downplay our hurt? now,Desire,YouTube Short,Instagram,contemplative uncertainty
when in surge? at work,Interest,YouTube Short,YouTube Shorts,reflective curiosity
when an organism doesn't pull its weight? deeply,Action,YouTube Short,Medium,introspective reflection
can pay attention and use these signals for our well-being?,Awareness,Reel,Medium,promotional
doom and gloom to convince how broken it all is?,Interest,Static Post,Facebook,reflective curiosity
when we honor that,Desire,Article,Facebook,introspective reflection
door' to the hidden room? now,Interest,Reel,YouTube Shorts,uplifting guidance
being 100%+ stubborn,Interest,YouTube Short,Facebook,contemplative uncertainty
whose time is matched the most?,Interest,Carousel,Instagram,contemplative uncertainty
when we add it all up? deeply,Action,Article,YouTube Shorts,formal and authoritative
how we stage enticing social versions,Desire,Reel,YouTube Shorts,uplifting guidance
when to trust? deeply,Action,Reel,Instagram,contemplative uncertainty
who-am-i several times? in life,Desire,Carousel,LinkedIn,contemplative uncertainty
how we stage enticing social versions?,Awareness,Static Post,Medium,promotional
which is being said?,Action,Static Post,YouTube Shorts,introspective exploration
when we? in life,Interest,YouTube Short,Facebook,uplifting guidance
sensing,Desire,Article,Medium,inviting curiosity
when our tribe does not fulfill our needs? again,Awareness,Mini Article,Facebook,formal and authoritative
who we fulfill-needs with?,Desire,Static Post,LinkedIn,contemplative uncertainty
when they are ready to leave? at work,Awareness,YouTube Short,YouTube Shorts,formal and authoritative
cannot be an accusation?,Action,Reel,LinkedIn,formal and authoritative
which expert advice do you usually give yourself in that situation?,Interest,Reel,YouTube Shorts,introspective reflection
when you achieved your goals? again,Action,Static Post,YouTube Shorts,gratitude
doubt grows? in life,Desire,Static Post,LinkedIn,promotional
does it mean then do we want our humanness to remain as is at work,Action,Static Post,YouTube Shorts,promotional
when to restrain? at work,Awareness,Reel,YouTube Shorts,uplifting guidance
belong to this last category of admired ones to heal?,Awareness,Mini Article,Instagram,reflective curiosity
when we understand that life is a short list of yeses and a lengthy list of nos? at work,Interest,Reel,Medium,formal and authoritative
when well-meaning advice didn't work for you? at work,Interest,Carousel,Facebook,uncertainty and introspection
feel tantrumy-displeased when someone's time repeatedly didn't match yours? in life,Awareness,Article,Medium,promotional
when we speak black&white? deeply,Action,Static Post,Instagram,reflective curiosity
sensings and needs as valid points of data when resolving a minor conflict in life,Awareness,Carousel,Instagram,formal and authoritative
is in a state of constant flux? in life,Awareness,Mini Article,Facebook,uplifting guidance
is well?,Interest,YouTube Short,LinkedIn,uplifting guidance
does how does?,Action,Mini Article,LinkedIn,reflective curiosity
when humans say we speak from logic?,Interest,Carousel,Medium,gratitude
steps to state concerns without placing a person in the hot seat,Interest,Carousel,Medium,uplifting guidance
is natural? at work,Action,YouTube Short,Medium,uplifting guidance
when others fall short for us? at work,Awareness,Reel,Medium,formal and authoritative
doom and gloom to convince how broken it all is? in life,Desire,YouTube Short,YouTube Shorts,inviting curiosity
how does it impact your relationship with them? in life,Interest,Static Post,Facebook,uplifting guidance
can pay attention and use these signals for our well-being? deeply,Awareness,Article,Facebook,promotional
do something? at work,Action,Carousel,YouTube Shorts,introspective reflection
is probably how come it is easier to spot the non-sense in others,Awareness,Mini Article,LinkedIn,introspective exploration
don't have full access to a person's inner data? again,Awareness,Carousel,Instagram,promotional
could it be do we self-doubt,Awareness,Reel,YouTube Shorts,formal and authoritative
do you see others who seem to be going through the day? deeply,Desire,Reel,Medium,inviting curiosity
is no secret? deeply,Awareness,Mini Article,Facebook,introspective reflection
cannot wish the big-bigs away? again,Awareness,Static Post,Medium,introspective exploration
is your inside world the same as your outside world? again,Interest,Article,Medium,gratitude
who used to be? deeply,Awareness,Carousel,Medium,introspective exploration
is certainly felt?,Interest,Static Post,YouTube Shorts,promotional
when did you last spot non-sense in your codes? deeply,Interest,Reel,YouTube Shorts,reflective curiosity
how does is working and how does is not?,Action,Mini Article,LinkedIn,introspective reflection
when it did? at work,Desire,Reel,YouTube Shorts,gratitude
who was the first to tell us to human?,Awareness,Carousel,LinkedIn,introspective reflection
